scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PIK3CB,28,0.5293593499389901,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PIK3CA,29,0.5280019566319515,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,ARG1,30,0.5260547695200757,19.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,HSP90AB1,1,0.8143997172855415,3.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,CDK6,2,0.7743416213325041,1.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,CA2,3,0.7421783438227959,2.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,HSP90AA1,4,0.660949801432625,13.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,PARP1,5,0.6530286010584279,4.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,KIT,6,0.641154782404194,7.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,PRKDC,7,0.639270830703558,23.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,APEX1,8,0.6194574293363023,10.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,PGD,9,0.6166478417037004,,False
exp_network_grid_exp_0.9500,experimental_network_weight_grid,HDAC1,10,0.6163174054709297,,False
exp_network_grid_exp_0.9500,experimental_network_weight_grid,TP53,11,0.6154464778927972,,False
exp_network_grid_exp_0.9500,experimental_network_weight_grid,CDK4,12,0.6097013879491253,8.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,ACHE,13,0.6079913084272422,5.0,True
exp_network_grid_exp_0.9500,experimental_network_weight_grid,MDM4,14,0.6041733506071647,21.0,True
